dail,begin,end,speaker,speaker2,until2,speaker3,until3
1,0021-01-19,0010-05-19,Seán T. O'Kelly,George Nobel Plunkett,22/01/1919,Cathal Brugha,22/01/1919
2,0016-08-19,0008-06-19,Eoin MacNeill,,,,
3,0009-09-19,0009-08-19,Michael Hayes,,,,
4,0019-09-19,0020-05-19,Michael Hayes,,,,
5,0023-06-19,0016-08-19,Michael Hayes,,,,
6,0011-10-19,0017-12-19,Michael Hayes,,,,
7,0009-03-19,0022-12-19,Frank Fahy,,,,
8,0008-02-19,0014-06-19,Frank Fahy,,,,
9,0021-07-19,0025-05-19,Frank Fahy,,,,
10,0030-06-19,0026-05-19,Frank Fahy,,,,
11,0001-07-19,0010-05-19,Frank Fahy,,,,
12,0009-06-19,0011-12-19,Frank Fahy,,,,
13,0018-02-19,0002-05-19,Frank Fahy,,,,
14,0013-06-19,0023-04-19,Patrick Hogan,,,,
15,0002-06-19,0013-12-19,Patrick Hogan,,,,
16,0020-03-19,0001-09-19,Patrick Hogan,Seán F. Lemass,24/06/1959,,
17,0011-10-19,0011-03-19,Patrick Hogan,,,,
18,0021-04-19,0021-05-19,Cormac Breslin,Patrick Hogan,14/11/1967,,
19,0002-07-19,0005-02-19,Cormac Breslin,,,,
20,0014-03-19,0025-05-19,Seán Treacy,,,,
21,0005-07-19,0021-05-19,Padraig Faulkner,Joseph Brennan,13/07/1980,,
22,0030-06-19,0027-01-19,John F. O'Connell,,,,
23,0009-03-19,0004-11-19,John F. O'Connell,,,,
24,0014-12-19,0020-01-19,Thomas J. Fitzpatrick,,,,
25,0010-03-19,0025-05-19,Seán Treacy,,,,
26,0029-06-19,0005-11-19,Seán Treacy,,,,
27,0014-12-19,0015-05-19,Seán Treacy,,,,
28,0026-06-19,0025-04-20,Séamus Pattison,,,,
29,0006-06-20,0026-04-20,Rory O'Hanlon,,,,
30,0014-06-20,0001-02-20,Séamus Kirk,John O'Donoghue,13/10/2019,,
31,0009-03-20,0003-02-20,Sean Barrett,,,,
32,0010-03-20,,Seán Ó Fearghaíl,,,,
