legper,party_name,title,originalname,fullname,surname,titlefullname,titlesurname,firstname,firstlast,shared,lengthofname,deputylastname,deputyfullname,deputyfirstlastn
14,Fianna Fáil,0,Mr. John Flynn,John Flynn,Flynn,,,John,John Flynn,1,2,,Deputy John Flynn,
14,Fine Gael,0,Mr. Sean Collins,Sean Collins,Collins,,,Sean,Sean Collins,1,2,,Deputy Sean Collins,
14,Sinn Féin,0,Dr. James Ryan,James Ryan,Ryan,,,James,James Ryan,1,2,,Deputy James Ryan,
14,Fianna Fáil,0,Mr. Joseph Brennan,Joseph Brennan,Brennan,,,Joseph,Joseph Brennan,1,2,,Deputy Joseph Brennan,
14,Fianna Fáil,0,Mr. Gerald Boland,Gerald Boland,Boland,,,Gerald,Gerald Boland,1,2,,Deputy Gerald Boland,
14,Fianna Fáil,0,Mr. Thomas Walsh,Thomas Walsh,Walsh,,,Thomas,Thomas Walsh,1,2,,Deputy Thomas Walsh,
14,Fianna Fáil,0,Mr. Matthew O'Reilly,Matthew O'Reilly,O'Reilly,,,Matthew,Matthew O'Reilly,1,2,,Deputy Matthew O'Reilly,
14,Fine Gael,0,Mr. Declan Costello,Declan Costello,Costello,,,Declan,Declan Costello,1,2,,Deputy Declan Costello,
14,Fianna Fáil,0,Mr. Sean Flanagan,Sean Flanagan,Flanagan,,,Sean,Sean Flanagan,1,2,,Deputy Sean Flanagan,
14,Fine Gael,0,Mr. Patrick Browne,Patrick Browne,Browne,,,Patrick,Patrick Browne,1,2,,Deputy Patrick Browne,
14,Fine Gael,0,Mr. William Murphy,William Murphy,Murphy,,,William,William Murphy,1,2,,Deputy William Murphy,
14,Fianna Fáil,0,Mr. Jack Lynch,Jack Lynch,Lynch,,,Jack,Jack Lynch,1,2,,Deputy Jack Lynch,
14,Fianna Fáil,0,Mr. Thomas Brennan,Thomas Brennan,Brennan,,,Thomas,Thomas Brennan,1,2,,Deputy Thomas Brennan,
14,Farmers Party,0,Mr. Patrick (Virginia) O'Reilly,Patrick O'Reilly,O'Reilly,,,Patrick,Patrick O'Reilly,1,2,,Deputy Patrick O'Reilly,
14,Fianna Fáil,0,Mr. Timothy (Ted) O'Sullivan,Timothy O'Sullivan,O'Sullivan,,,Timothy,Timothy O'Sullivan,1,2,,Deputy Timothy O'Sullivan,
14,Fianna Fáil,0,Mr. Sean Brady,Sean Brady,Brady,,,Sean,Sean Brady,1,2,,Deputy Sean Brady,
14,Fine Gael,0,Mr. John Lynch,John Lynch,Lynch,,,John,John Lynch,1,2,,Deputy John Lynch,
14,Fianna Fáil,0,Mr. Patrick Boland,Patrick Boland,Boland,,,Patrick,Patrick Boland,1,2,,Deputy Patrick Boland,
14,Fianna Fáil,0,Mr. Stephen Flynn,Stephen Flynn,Flynn,,,Stephen,Stephen Flynn,1,2,,Deputy Stephen Flynn,
14,Independent,0,Mr. Alfred Byrne,Alfred Byrne,Byrne,,,Alfred,Alfred Byrne,1,2,,Deputy Alfred Byrne,
14,Independent,0,Mr. Thomas Byrne,Thomas Byrne,Byrne,,,Thomas,Thomas Byrne,1,2,,Deputy Thomas Byrne,
15,Independent,0,Mr. Alfred Byrne,Alfred Byrne,Byrne,,,Alfred,Alfred Byrne,1,2,,Deputy Alfred Byrne,
15,Fine Gael,0,Mr. Declan Costello,Declan Costello,Costello,,,Declan,Declan Costello,1,2,,Deputy Declan Costello,
15,Fianna Fáil,0,Mr. John Flynn,John Flynn,Flynn,,,John,John Flynn,1,2,,Deputy John Flynn,
15,Fianna Fáil,0,Mr. Joseph Brennan,Joseph Brennan,Brennan,,,Joseph,Joseph Brennan,1,2,,Deputy Joseph Brennan,
15,Fianna Fáil,0,Mr. Jack Lynch,Jack Lynch,Lynch,,,Jack,Jack Lynch,1,2,,Deputy Jack Lynch,
15,Clann na Poblachta,0,Mr. John Tully,John Tully,Tully,,,John,John Tully,1,2,,Deputy John Tully,
15,Fine Gael,0,Mr. Anthony Barry,Anthony Barry,Barry,,,Anthony,Anthony Barry,1,2,,Deputy Anthony Barry,
15,The Labour Party,0,Mr. James Tully,James Tully,Tully,,,James,James Tully,1,2,,Deputy James Tully,
15,Fine Gael,0,Mr. Thaddeus Lynch,Thaddeus Lynch,Lynch,,,Thaddeus,Thaddeus Lynch,1,2,,Deputy Thaddeus Lynch,
15,Fine Gael,0,Mr. Sean Collins,Sean Collins,Collins,,,Sean,Sean Collins,1,2,,Deputy Sean Collins,
15,Sinn Féin,0,Dr. James Ryan,James Ryan,Ryan,,,James,James Ryan,1,2,,Deputy James Ryan,
15,Fianna Fáil,0,Mr. Sean Flanagan,Sean Flanagan,Flanagan,,,Sean,Sean Flanagan,1,2,,Deputy Sean Flanagan,
15,Fine Gael,0,Mr. William Murphy,William Murphy,Murphy,,,William,William Murphy,1,2,,Deputy William Murphy,
15,Fine Gael,0,Mr. Richard Barry,Richard Barry,Barry,,,Richard,Richard Barry,1,2,,Deputy Richard Barry,
15,Independent,0,Mr. Thomas Byrne,Thomas Byrne,Byrne,,,Thomas,Thomas Byrne,1,2,,Deputy Thomas Byrne,
15,Fianna Fáil,0,Ms. Celia Lynch,Celia Lynch,Lynch,,,Celia,Celia Lynch,1,2,,Deputy Celia Lynch,
15,Fianna Fáil,0,Mr. Paudge Brennan,Paudge Brennan,Brennan,,,Paudge,Paudge Brennan,1,2,,Deputy Paudge Brennan,
15,Fianna Fáil,0,Mr. Tadhg Crowley,Tadhg Crowley,Crowley,,,Tadhg,Tadhg Crowley,1,2,,Deputy Tadhg Crowley,
15,Fianna Fáil,0,Mr. Stephen Flynn,Stephen Flynn,Flynn,,,Stephen,Stephen Flynn,1,2,,Deputy Stephen Flynn,
15,Independent,0,Mr. Patrick Byrne,Patrick Byrne,Byrne,,,Patrick,Patrick Byrne,1,2,,Deputy Patrick Byrne,
15,Fianna Fáil,0,Mr. Nicholas Egan,Nicholas Egan,Egan,,,Nicholas,Nicholas Egan,1,2,,Deputy Nicholas Egan,
16,Independent,0,Mr. John Murphy,John Murphy,Murphy,,,John,John Murphy,1,2,,Deputy John Murphy,
16,Fine Gael,0,Mr. Declan Costello,Declan Costello,Costello,,,Declan,Declan Costello,1,2,,Deputy Declan Costello,
16,Sinn Féin,0,Dr. James Ryan,James Ryan,Ryan,,,James,James Ryan,1,2,,Deputy James Ryan,
16,Fine Gael,0,Mr. Thaddeus Lynch,Thaddeus Lynch,Lynch,,,Thaddeus,Thaddeus Lynch,1,2,,Deputy Thaddeus Lynch,
16,Fianna Fáil,0,Mr. Gerald Boland,Gerald Boland,Boland,,,Gerald,Gerald Boland,1,2,,Deputy Gerald Boland,
16,Fianna Fáil,0,Mr. Jack Lynch,Jack Lynch,Lynch,,,Jack,Jack Lynch,1,2,,Deputy Jack Lynch,
16,Fianna Fáil,0,Mr. Kevin Boland,Kevin Boland,Boland,,,Kevin,Kevin Boland,1,2,,Deputy Kevin Boland,
16,Fianna Fáil,0,Mr. Séan Browne,Séan Browne,Browne,,,Séan,Séan Browne,1,2,,Deputy Séan Browne,
16,Fianna Fáil,0,Mr. Sean Flanagan,Sean Flanagan,Flanagan,,,Sean,Sean Flanagan,1,2,,Deputy Sean Flanagan,
16,Fine Gael,0,Mr. William Murphy,William Murphy,Murphy,,,William,William Murphy,1,2,,Deputy William Murphy,
