text,keyword
"The appointment of members of the Garda Síochána Ombudsman Commission is dealt with in section 65 of the Garda Síochána Act 2005, which provides they are to be appointed by the President on the nomination of the Government and the passage of resolutions by both Houses of the Oireachtas. In making the nomination of a person to be a member of the Ombudsman Commission, the Government is required by the 2005 Act to satisfy themselves that the person has the appropriate experience, qualifications, training or expertise for appointment to a body having the functions of the Ombudsman Commission. On the 3rd February 2009, the Government nominated Mr Dermot Gallagher for appointment by the President to be the Chairperson of the Ombudsman Commission. In making the nomination, the Government was fully satisfied that Mr. Gallagher meets the statutory requirements for appointment as Chairperson of the Ombudsman Commission. The same pro[577]cess was undertaken by the Government in 2005 in relation to the appointment of the original members of the Garda Síochána Ombudsman Commission. Having satisfied itself that the nominees had the appropriate experience, qualifications, training and expertise for appointment to the Commission, Judge Kevin Haugh, Ms Carmel Foley and Mr. Conor Brady were appointed by the President on the nomination of the Government and the passage of resolutions by both Houses of the Oireachtas. Question No. 110 answered with Question No. 56.",Brady
"——with which somebody can provide for a family and have some hope of acquiring a home of his or her own, as is right. It is extraordinary that in this Bill Fianna Fáil has used all of the ingenuity available to it, via the parliamentary draftsmen, to include in the remit of the Bill very low paid public servants, including people such as cleaners working on a part-time basis. They will be hit with reductions in pay of a minimum of 5%. However, when it comes to Anglo Irish Bank, the Government has used the powers and cleverness of its parliamentary draftsmen to exclude its staff from such reductions. There has been considerable talk by the Taoiseach and the Minister for Finance about fairness. As I said in the discussion on the previous amendment, the Minister for Finance has talked about war and said that we were in an economic war. On Sunday night he said that he did not want to open a second front in the war against the public service and he did not want that war to extend to the commercial semi-State bodies. It is very difficult for most people here, including Members of this House, who are taking significant pay cuts and paying pension levies along with all the other people paid out of the public purse to have the people who are largely responsible for the cause of the war exempted by means of parliamentary cleverness. Earlier the Government Whip said:  Nothing in this legislation would prevent the addition of Anglo Irish Bank and the Labour Party has obtained senior legal advices to that effect. This is a conscious political decision by Fianna Fáil and the Green Party in government to target nurses, gardaí, clerical assistants and everybody in the public service bar members of the Judiciary — which we have already discussed — and employees of Anglo Irish Bank. Where is the fairness in that for the Minister? Where are Fianna Fáil’s republican credentials for the men of no property when the people at the very top of Anglo Irish Bank, who have had a cap on their salaries of between €300,000 and €500,000 put in place, are to a significant degree responsible for the plight we are in? Where is the fairness and justice in that? If the Government wished, it could seek to extend the remit of the legislation to the other banks because in the various banking legislation dealing with the credit institutions and dealing with the nationalisation of Anglo Irish Bank and NAMA, but particularly in the legislation relating to the covered institutions, the powers of the Minister for Finance are almost completely limitless. In law he is a tsar of the covered institutions. He is even more of a tsar in terms of his control and power over Anglo Irish Bank. Let us remember the Minister has gone around the world claiming that unlike in France and other countries, the public service in Ireland has taken these cuts on the chin, with only small demonstrations and small strikes for a day yet on the other hand there is a major commitment by the public servants themselves and public service union leaders to say they recognise that the economy is in a difficult place and they want to play their part. The Government claims that the only falling out it has had with public servants is over the mechanism by which that burden would be shared by everybody, including public servants. [759]However, what do we find in this legislation? We find that Anglo Irish Bank is excluded. Shame on Fianna Fáil for imposing a cut on nurses, teachers, special needs assistants, doctors, clerical officers, assistant principals, principal officers and Secretaries General, but excluding Anglo Irish Bank. Where is the logic in that? Where is the fairness in that? It is almost as though the Minister for Finance wishes to test the resolve of public servants by trying to find out how much they will take without protesting so that he can go to France and point to the traditions of 1798 and the French Revolution but claim that we do not have that in this country. He can claim that our public servants will take almost anything yet we will exempt Anglo Irish Bank. In France and other countries, even the UK, there has been a serious attempt to impose restraints and conditions on bankers who have transgressed. We are not talking about the bank staff at counter level, many of whom were duped by the leaderships in their banks into putting their life savings into bank shares that are now worthless. We are talking about the top echelons, the Seánies and others in Anglo Irish Bank, who were so friendly with the former Taoiseach, Deputy Bertie Ahern, and who rushed to the Galway tent and every other Fianna Fáil function to say 'There is one motherland and one fatherland'. We have Fianna Fáil on the one hand, and Anglo Irish Bank and the developers on the other hand. This is the golden circle. The Bill protects the golden circle yet again. Many Anglo Irish Bank staff members have lost their savings because they were invested in the bank’s shares. When I questioned him at the Oireachtas Joint Committee on Finance and the Public Service, Donal O’Connor, the chairman of the bank told me that people at senior management levels in the bank are heavily compromised because at the height of the property boom they became players and were taking stakes in the bank’s unwise property developments. We read in today’s newspapers — I wish that the Minister could deny it — that the person who has been the internal auditor at Anglo Irish Bank since 2005 has been reappointed to that position. Perhaps that particular auditor consistently blew the whistle internally in the bank but was not listened to by his superiors in the bank. However, it seems extraordinary given that the Government has taken control of this bank. The bank is not permitted by the European Central Bank to lend until next July other than on roll-over projects to developers. So we have a zombie bank and have committed ourselves to €24 billion in NAMA bonds for this bank. We have already invested €4 billion, which we have informed the European Union and the European Central Bank is money that is gone. We are being asked to pony up some time after Christmas — probably in late January — at least another €4 billion and up to €6 billion into a dead bank. As I have said previously, the Labour Party’s reservations about the guarantee centre on two banks, Anglo Irish Bank and the Irish Nationwide Building Society — a tiddlywink building society that is in for €8 billion of rescuing and €2 billion of a cash injection shortly when its special meeting is held. Is the Minister of State, Deputy Mansergh, serious about excluding the party that has led to the core collapse in the reputation of Ireland internationally? If one follows our bond spreads every day, one will find they are way over what they ought to be. Even with the extreme financial reduction measures we are discussing today, our bond spreads are considerably higher than Italy’s bond spreads because the international bond markets know that we have a mess that we have retained and Fianna Fáil has kept to itself, in Anglo Irish Bank, a bank we are nurturing along and pouring money into as if it were a dead drain. Now we find that nurses and teachers are to bear this reduction in salary while those in Anglo Irish Bank get away scot free. If the Minister said he felt terribly sorry for the young people who went to work in Anglo Irish Bank in the last ten years, worked hard, did what they were told and were not really responsible for the mess, but he would apply the reduction to the higher paid in Anglo Irish Bank — for example, anyone earning more than €100,000 or [760]even €150,000 — I could understand it. One might feel sorry for the staff on the lower levels who were not responsible for what went on. Instead, the top directors, the chairman and everyone else in Anglo Irish Bank are being protected. This Government ought to recognise the difference between right and wrong in terms of governance. This further protection of Anglo Irish Bank is a step too far and the Labour Party is proposing that Anglo Irish Bank be included in the list of organisations to which these provisions will apply. It is owned and totally controlled by the State. The Bill should be amended to include those in Anglo Irish Bank in the measures being inflicted on a range of public servants to reduce their salaries. Professor Honohan yesterday indicated that he would favour a parliamentary inquiry along the lines of the DIRT inquiry, together with an oversight commission, as I suggested during the debate on the NAMA legislation. This would bring in outside experts to tell us what went wrong in this and other banks. What Professor Honohan has to say is welcome. Here is the proof of whether those in Fianna Fáil can recognise financial right from wrong. Why should everybody in the public service take the hit? It is those in the public service, and every other taxpayer in Ireland, who are at the moment paying dearly for Anglo Irish Bank.",Ahern
"I apologise, I knew he had raised another issue. The budget is set for a fixed date in December and the only change we made this year is based on the belief that we can give greater credibility to the budgetary process by laying out a four year track whereby projections for anticipated growth, measures to foster growth and employment and adjustments to expenditure and taxation will be set out in advance of the budget. Furthermore, the end of November returns are an important element in the calculation of the annual budget because they allow for as precise a figure as can be obtained in regard to tax receipts. Deputy Brian Hayes explored the question of reaching the 10% debt to GDP ratio. He rightly pointed out that our current debt to GDP ratio is the highest in the eurozone. However, until August we were able to borrow at attractive rates because the underlying strengths of the Irish economy were recognised by many international investors. These strengths include our robust export performance, flexible workforce and capacity to adjust our wage and price levels and asset values. Above all, we are moving towards a balance of payments surplus notwithstanding the substantial public borrowing required to fund the State. These factors are recognised in international markets and are among the reasons Ireland has been permitted to be an outlier for so long. The fact remains, however, that our current debt level is not sustainable and it is an exercise in judgment as to how far below it we should go. The Deputy referred to the market sources with whom he had discussed the matter but, while I will certainly take account of his, albeit second-hand, opinion, ultimately I will be guided by the NTMA in my assessment. I already outlined the basic undertakings given by the State in respect of the Croke Park agreement. The agreement sets out procedures on a definite slate of items but it also provides a framework for the exploration of other issues.",Hayes
"——and other WTO negotiating partners must make equivalent contributions to ensure that an ambitious and balanced agreement is realised. It is time for realism to prevail at the negotiations with regard to what is attainable and acceptable in respect of agriculture. We must achieve genuine balance in any final agreement. Crucially, the European agrifood sector must not be sacrificed for the sake of a deal. This is the position consistently taken by the Government and it will continue to be strongly reflected at various EU and WTO meetings. My colleagues in Government, my officials and I have taken every opportunity to make our concerns clear to the EU Commission in bilateral contacts and at meetings of the EU co-ordinating groups in Geneva, the Article 133 committee, the Agriculture Council and the General Affairs and External Relations Council. This is not just an Irish concern. I have been engaged for several years in a continuous process of encouraging and cajoling other member states to join Ireland in its strong stance on this issue. I have also been pressing the Commission, both at the Council of Agriculture Ministers and in direct bilateral meetings, to stiffen their backs in the negotiations. My colleague, the Minister for Foreign Affairs, Deputy Dermot Ahern, has played a similar leading role at the General Affairs Council. Like his predecessor, Deputy Michael Ahern, the Minister of State, Deputy McGuinness, has also been active in this intensive effort on the part of the Government. The Taoiseach has taken every opportunity to put forward our case at the very highest level in Europe. This has been a signal to others both of the importance of this issue to Ireland and the need for engagement at the highest levels by European Governments in respect of this matter. We have also established an alliance with a group of over 14 EU member states and there is good support for the view that the legitimate interests of the EU agrifood sector must be strongly defended. At the latest Council meeting the membership of the group of 14 swelled to 20. Of course, each member state has its own particular concerns. While Ireland focuses on the 'Green Box', export refunds and market access for beef and dairy products, others are, for example, concerned about Mediterranean products. However, such broad alliances are crucial in an EU of 27 member states. The Government’s intention is to continue these contacts with other member states and directly with the Commission. This process has been particularly intense in recent times. That [606]will remain the case in the coming months as the WTO Director General, Pascal Lamy, has indicated his intention of calling a ministerial meeting in 2008, with a view to finalising the modalities of an agreement on agriculture and NAMA. The timing of this ministerial meeting is as yet unclear, although dates in April, May, June and even July have been mentioned. The timing is very much dependent on the progress that can be made to resolve the large number of technical issues that remain outstanding. In recent weeks, intensive discussions have taken place in Geneva on the texts. However, there are still many technical, as well as political, issues that have not been resolved. The possibility that further texts might issue from the agriculture and NAMA chairs, before discussions move to a horizontal process at senior official and political level, has not been ruled out. It is not only the timing of the ministerial meeting that is in doubt. A number of WTO members have outlined their opposition to dealing only with agriculture and NAMA at a ministerial meeting and have emphasised the need for progress on other elements of the WTO negotiating agenda such as services, rules trade facilitation, etc. This is in line with the WTO principle of a single undertaking in the negotiations, whereby nothing is agreed until everything is agreed. It is, therefore, unclear at this stage which issues would be addressed at a ministerial meeting. If agreement were to be reached on agriculture and NAMA at this time, the suggestion is that, in the period needed to produce detailed WTO schedules, the other areas of negotiation would be concluded so that the final overall agreement would be in place by the end of 2008. As to the prospects for an agreement this year, it is very difficult to call. In addition to the large number of complex issues across the broad spectrum of negotiating areas that are unresolved, the uncertainty in the US political situation will play a crucial role in whether this proposed timetable for reaching a final agreement is achieved. We must assume, however, that regardless of whether a WTO agreement is concluded this year, sooner or later there will be an agreement. It is important, therefore, that we prepare ourselves for this. Irrespective of the precise substance of such an agreement, it will present significant challenges for the Irish food industry and for the beef sector in particular. As the negotiations continue, and while I am committed to a successful conclusion to the round, I assure the House that the Government is determined to ensure that EU agriculture will not be sacrificed for the sake of an agreement. There must be an equitable agreement which will deal with all elements of negotiation. Ireland and the EU must secure an agreement that will ensure continued economic development. Therefore, my overriding objective is to ensure that the CAP reforms, which have already been implemented and which represent the limit of the EU mandate in these negotiations, are not undermined. I will continue to argue this point forcefully in the negotiations. I have a number of specific priorities in respect of the ongoing agriculture negotiations. On domestic support, I aim to ensure that the system of decoupled direct payments continue to qualify as non-trade distorting payments under the WTO 'Green Box' classification and so remain exempt from reductions under the new round. There can be no question of the decoupled single farm payments being undermined by any WTO proposals for reviewing the 'Green Box'. This is a clear red line for the Government which cannot be crossed in the negotiations. On export subsidies, we want to ensure the full parallel elimination of all forms of export subsidy, while seeking the maximum flexibility in the phasing out arrangements for the EU export refunds scheme. On market access, it is vitally important that Irish and EU farmers [607]have sufficient time to adjust to CAP reform and, in particular, the impact of the introduction of the decoupled payment system. An effective import regime has a vital role to play. Therefore, my aim is to retain a realistic and effective level of protection for our producers and exporters. As to non-trade concerns, with others, I have repeatedly drawn attention to the importance of this issue and, in particular, the fair application of equivalence in sanitary and phyto-sanitary protection. I will continue to raise this issue in the context of the WTO negotiations and elsewhere. It is regrettable that other negotiating partners are focusing on pursuing further concessions from the European Union without sufficient reciprocal movement on their part. The European Union cannot be blamed for the current difficulties in the negotiations because we have made significant contributions to the round. Other developed countries and the more economically advanced developing countries must step up and deliver if an ambitious Doha Round which will benefit the poorest countries is to be achieved. I will continue to have an active role in the ongoing negotiations and will vigorously pursue the key objectives I have outlined. I will also continue to work closely with the Commission and other like-minded member states to secure a balanced agreement which will benefit Ireland.",Ahern
"I appreciate the help of Deputy Hayes. It is even longer than I thought it is nearly 30 years ago. The Minister for the Environment, Heritage and Local Government, Deputy Gormley, was referring to that referendum in the context of Seanad reform which can be introduced. Other reforms came from the report of the committee on Seanad reform, which Deputy Brian Hayes will recall, which we can deal with. That is also what the Minister was referring to which I support. There was an urgency in the Upper House that we undertake some of these reforms. If we get into deeper reform and total change of the Seanad, as suggested in this House and elsewhere, it will mean a different constitutional referendum. That is not what the Minister or I stated. There may be merits in it but it would have to be examined in a separate context. Regarding the Deputy’s points about Northern Ireland and the Seanad, I have stated as Taoiseach that there are issues we would be prepared to examine in reforming the Seanad. Some of these could be introduced without a constitutional amendment while some may need one. I am still honour bound to deal with those ones that do not require a referendum and which can be done in the short term.",Hayes
I thank the Minister of State. The next speakers are Deputy Chris Andrews and Deputy Cyprian Brady who wish to share 20 minutes. Is that agreed? Agreed. I call Deputy Andrews first. He has ten minutes.,Andrews
"Like Deputy Johnny Brady, I am glad to speak on this issue. In the last review of constituencies when I became a candidate, Deputy Brady had to hand over several lovely areas such as Moynalty, Carlanstown, Nobber, Gibbstown, Kilmainhamwood, Oristown and Meath Hill. There is genuine fear in those communities with regard to EirGrid’s proposals. While this is a technical, enabling Bill, I am glad the Minister recognised the public concerns in his speech. He referred to the complexity of the task facing EirGrid. Would it be possible to make even slight amendments to the Bill in terms of what EirGrid may be required to do when it proposes projects above and beyond what is contained in the Planning and Development (Strategic Infrastructure) Act? When EirGrid comes to the town, there is never a show like it. Chaos reigns and people fear, as we have seen time and again. An extra level of consultation should be required specifically for EirGrid. There is nothing else like it. I have been to meetings attended by almost the entire population of parishes, which I am sure has also been the experience in other counties. There are massive concerns, including with regard to health. One can read all the WHO studies one likes, but when one visits communities where there are already pockets of cancer, it is impossible to argue there is no health risk, particularly as many studies recognise this risk, as pointed out by Deputy Brady. The people of County Meath are very concerned about the visual impact given our tourism potential and the innate beauty of the county and the wildlife. I am conscious that Gibbstown is a Gaeltacht area. It is a great community but there is much fear about the impact on the culture and heritage of the area. Planning permission is one of the biggest issues for families in rural Ireland at present, particularly for those working in agriculture. There will be many restrictions in the north east [54]if this project goes ahead. The right of people to live on their own land and contribute to their communities will be put in serious jeopardy. The Minister gladly took on board the huge public concern. He made a wise decision to commission a study because there are arguments for and against the proposal. While EirGrid put up a very strong argument that the cost of its plans is low, what price our health, environment and heritage? I have met people who claim the lines could be put underground for a fraction of the cost and in a simple way. What the Minister has done with the independent study is very welcome, as is its short time frame. We look forward to the findings and hope the study will provide what we consider to be the right answer, which is to put the lines underground. To do that would have major implications throughout the country. There are already many 400 kV lines. If, as we hope, the lines go underground in counties Meath, Cavan and Monaghan, then lines elsewhere would also have to be considered, and future projects would have to be undertaken along the lines of the findings of this report. The Government is often accused of not planning developments but it cannot be accused of not planning for future energy needs. Interconnectors are part of this process and the people of Meath accept this. They are always happy to see progress, for example, with regard to the M3. The M3 is a balance between the needs of our people and protecting our heritage but EirGrid’s proposals for County Meath are significantly unbalanced and balanced against the ordinary man and women in the lane and road — we do not have many streets in north Meath. The Government is focused on planning, as it must be because energy is a key requirement and the country must be kept alight. We can see the result of the Israeli blockade in the Holy Land, where the UN is running out of fuel and may have to stop operations. That is a particular case concerning energy supply. We must look after this country for the decades and generations to come. The people will support the Government in this regard and will welcome anything which helps them to plan their daily lives and businesses better. However, they demand that the lines be put underground. I will give them every support I can.",Brady
"I listened with interest as the Minister spoke of the RAPID programme and, as a councillor of many years standing in the south-west inner city, I have much to say on the regeneration of communities and the consultation process. I too was at the awards ceremony the Minister attended and it was clear to me that such awards are important to young people at the early stages of their lives as they give a new insight into who they are and they help them feel they are achieving something. Many of the children who received these awards at the ceremony will go on to do greater things as they get older. The contribution of the South West Inner City Network, SWICN, has had a huge impact on young people in schools in the inner city and the Liberties and I welcomed the Minister’s words at the ceremony. I thank the Minister of State at the Department of Community, Rural and Gaeltacht Affairs, Deputy Pat Carey, for his reference to the words I spoke last week, which I will not go back over. Some weeks ago Deputy Enda Kenny called me into his office to ask me to speak on the national drugs strategy on behalf of Fine Gael and I was taken aback because I am not an expert in the area. I cannot pronounce the names of many of the drugs available but I can speak at length on the real problems drugs have introduced to communities. I lived in a close-knit area of Inchicore but in the 1980s one could not enter one’s front garden without seeing a person shooting up there. Many elderly people had to change their post office books to receive their allowances from another area because they were afraid to walk the streets of Inchicore. Drugs had a devastating effect on the community, businesses and residents there and brought Inchicore to its knees. I grew up in the area and, as the Minister knows, was involved in community work so I saw [1595]young people at the youth club who clearly would not reach their teenage years due to drugs. I visited such young people in hospitals through the years, I sat beside many as they died, I sang at their funerals and attended many services, as have other Deputies, to commemorate the loss of young lives. I will never forget, at such services, seeing the faces of family members etched with distraught and anguish at the loss they suffered. I have known the Minister of State, Deputy Pat Carey, for some time and I am aware of his commitment to communities and particularly this issue. I know the Government is making progress but I think we have some way to go. That is why I welcome this review. It is important that, every so often, we dust down these glossy documents and go through them again. It is only then that we can review what has been done. As the song says, a picture paints a thousand words. In the Irish Examiner last week, we were shown graphic images of what drugs can do to a person’s body, mind and soul, and the damage they cause to communities. The media are sometimes deserving of blame in the manner in which they highlight such issues. However, this particular report illustrated the devastating effect of drugs on society. The media has a major role to play in how all of us, particularly young people, view drugs. Drugs are often glamorised on television and in magazines and the dangers are not highlighted. By contrast, the Irish Examiner should be commended on the approach it took. Young people are targeted by the media, which often show the glamorous version of what drug abuse entails. As a parent of young children, I am aware that many popular music idols, soap opera actors and film stars are openly abusing drugs. We cannot protect our children from this type of exposure but we can educate them about the damage drugs can do to their bodies and general well-being and to their families. An anti-litter advertisement is currently being shown on television in which a young woman walks down the road dropping litter. While she continues to believe she looks beautiful, her image gradually changes in other people’s eyes. We must take the same approach in regard to drugs awareness through the media. The anti-litter advertisement and the one warning of the dangers of drink-driving, in which a young girl is seen in a wheelchair in a graveyard, have had a profound effect on many young people, including my own children. The reform of the drugs strategy should include a consideration of how the media can be utilised to further its objectives. There is a large and ever increasing cocaine abuse problem in Dublin and throughout the State. Although we have known about this for ten or 12 years, an effective rehabilitation programme is still not in place to assist people to overcome their addiction to this drug. Some small pilot projects are in operation but those working [1596]in local task forces insist that this is inadequate. We are talking about people, including young children, with a serious addiction. Teenagers as young as 14 or 15 years are taking cocaine. We must ensure the facilities are in place to offer rehabilitation to young people as soon as they request it. The lack of psychological services for those abusing drugs is another aspect of the problem. Many addicts who attend services provided by local drugs task forces are doing their best to overcome their addiction. However, one can only access some of these services if one has already stopped taking drugs. A person who approaches a local drugs task force and asks to be included in a rehabilitation programme will only be admitted if he or she is clean of drugs. I do not understand this approach. Many of the responsibilities taken on by staff of local drugs task forces go beyond their official capacity. I know of staff who have waited for hours in accident and emergency departments, sometimes at night, with people who have presented in a terrible condition. These people are trying their best to recover and are in a vulnerable position. The only way in which staff can seek psychological support for them is to take them to an accident and emergency department. Urgent action must be taken to address this shortcoming in psychological support services. Addicted persons who are fortunate enough to have the money can check themselves into a private clinic where they have a good chance of resolving their addiction. However, that help is not available to those without the resources to obtain it privately. One must be clean of drugs before being admitted to publicly funded addiction support services. I understand that more than €200 million was spent last year under the national drugs strategy. Given that level of expenditure, it is sad to discover that a significant proportion of drug users undergoing rehabilitation are still in school. This is shocking. The social, personal and health education, SPHE, programme in schools must be expanded. I put a parliamentary question to the Minister for Education and Science this week asking when the SPHE programme will be rolled out for senior cycle in all schools. The Minister states in her reply: A programme in social, personal and health reduction for senior cycle is currently being developed by the National Council for Curriculum and Assessment, but no proposals in this area have as yet been submitted to by Department. The council has consulted widely on a draft curriculum framework, and there has been general acceptance that it should cover such areas as mental health, gender studies, substance use, relationships and sexuality education, and physical activity and nutrition. The SPHE programme should be extended immediately, because we cannot afford to wait [1597]any longer. Many young people begin by dabbling in drugs at parties and a great many are pressurised by their peers to experiment. If I were granted one wish in regard to the fight against drug abuse, it would be that we begin again. We must recognise the importance of education and ensure that children are informed of the dangers as soon as they begin primary school. There must be a thorough review of how such issues as substance abuse, health and well-being are communicated to pupils from the beginning of their primary schooling right through to senior level and on to third level. I welcome the review of the national drugs strategy and I look forward to addressing some questions to the Minister at the conclusion of this discussion.",Carey
"I am proud to speak on this motion put forward by the Minister for Defence and, in so doing, to pick up on some of the points that have been made in the House during the debate. I come from an Army town, with the headquarters of the Western Command across the River Shannon. The proposed mission is a Western Brigade mission. It is important that we mark this fact. Troops from Athlone, Galway, Longford, Mullingar and Donegal will be going, along with some troops from other areas. It is essentially a Western Brigade mission. In my town and county we are very proud of the men and women who have gone abroad on other missions. Although Deputy Creighton has left, I must point out that there is no such thing as a safe mission. The idea that one mission is safer than another is ridiculous. If one goes abroad to fight or, as we are doing, to keep the peace, one does not believe one is going on a sunshine holiday. I was reminded sharply of what happened in the Congo during a graveyard commemoration last summer for some of the people who had been lost there. We can only think back to that it was surely the most perilous mission of all. However, [1238]every command is perilous and nobody who goes on a mission thinks it is easier than Cyprus, the Lebanon or Liberia. The Army is not imbued with those kinds of spirits or feelings. They are imbued with spirit for going where they are sent as part of their mission statement when they enlisted in the Army. The troops and officers on this mission know that they are going on a perilous journey. The journey will be simple enough, but the operations of the troops will be fraught with danger. How could it not be so, working in an area of that size? I was amazed that the area is the size of France, Spain and Germany combined. They are going to Chad under the triple-lock mechanism, an enormous safeguard for us under which the Europe Union, the United Nations and our Parliament give permission. That is as it should be. They are our troops who are fighting for our country and enlisted in our Army. Of course it is a humanitarian mission. I was taken by the enormous perils which the people who have come into the camps are undergoing and I do not know how they are able to manage their daily lives. I commend the fact that the Minister for Defence, Deputy O’Dea, the Minister of State at the Department of Defence, Deputy Tom Kitt, and the Minister for Foreign Affairs, Deputy Dermot Ahern, went separately to see what the terrain and the circumstances would be like and to know what we were taking on and going into. Likewise, I commend the group of women headed by former President Mary Robinson who went there and reported on what the women told them. The women have gone from one difficult situation to another extremely difficult one in camp there and the Army will be fully stretched in dealing with the aspect of their mission on this occasion. We all have approved of Lieutenant General Pat T. Nash and I wish him well as he sallies forth with his troops to do his duty. For a country the size of Ireland with our troop capacity, which is not enormous, it is amazing — the Minister and I had a brief conversation about this previously — that we are able to go with such vigour and enthusiasm to such dangerous spots around the world to take charge of a mission to keep the peace, which is what it is all about, and to care for the dispossessed. There is sure and firm evidence of many other missions which established great friendships. There are people still visiting Athlone as a result of friendships made in Cyprus, in the main, by our soldiers who went there on difficult missions. I am sure the friendships will endure. I note that the advance force departs in December, but it will be January when the main mission departs. Lest we think that they will have a less perilous time than the time before, it is not at all like that. I deal in the main with many women and while I understand from the Minister that there will be women Army personnel taking part in this mission, in many instances it is the [1239]mothers, wives, sweethearts, sisters and daughters of the male personnel involved who will bear the burden of worry, who will scan the news for every word from eastern Chad and read the newspapers for everything they can glean from them about Chad, and who never thought that they would find themselves in these circumstances. Due to the work of Army personnel, we now are acquainted with places with which we never would have become acquainted previously. Liberia and Chad are two of those exotic sounding places news of which we would not have bothered listening to, except that we now know that our troops are going there or have been there, and have acquitted themselves in such a fine fashion. I am not speaking in terms of fairy tales and Pollyanna. I know what I am talking about as I was born, brought up and reared in the town of Athlone with many of the sons and daughters of those who have been abroad. The town is proud of our forces. We are proud of the Western Brigade. We are very proud that Athlone is the headquarters of what was the Western Command, now the Western Brigade. People ask why Athlone was picked to be the Western Brigade headquarters. That is the way history laid it out. Custume Barracks is across the River Shannon. The Minister, Deputy O’Dea, is an honoured guest whenever he comes to our town and we hope that prior to this deployment he will pay us a further visit, perhaps to say farewell to them. I am very much in favour of the motion. I am conscious of the dangers our troops will face. At the same time, I am proud of what Irish troops from a peace-living and peacekeeping country have done over the years in wishing to ensure that they can spread their peace and humanitarian message into the strife-torn country of eastern Chad. I pay tribute to those who lost their lives over the years or were injured in various other missions in which the Irish forces were deployed.",Kitt
"I am glad to have this opportunity to speak. I will highlight one comment made by the Minister, Deputy Brian Lenihan, prior to the budget which was that he was committed to ensuring that no sector would avoid a cut. In fairness, he has achieved this not one sector has been left out of the budget. The question of leadership, or a lack thereof, is raised. We have a petrified paralysed Government more afraid to make decisions than to think about positive action and proactivity. This is at a time when there is anger, disillusionment and apathy in the country. I believe apathy is far more dangerous than anger and it has entered this stage, which the Minister of State knows from travelling the length and breadth of the country. We have a crisis. The budget was an attempt by the Government to get the country back on track towards recovery. This certainly will not be the case. We have had two years of nervous anticipation and expectation of cuts and more cuts. As John Maynard Keynes pointed out, it is the expectation of cuts rather than cuts themselves that can be more dangerous to an economy. I spoke to a small shopkeeper in Letterkenny who was able to point out to me that his sales in the three weeks prior to the budget were down 20%. It is this type of nervousness in the economy, the issue of leadership and the paralysis surrounding and associated with the Government that has left the country in a perilous state. While accepting that we have to make hard decisions, we must also accept that we have to make changes including to the type of governance employed in the country. I do not think the budget has done so in any way. It is very big on theory but the specifics have been left out. Cuts of more than €742 million will be made in health but we have not been given specific information on them. Last year, €90 million was allocated to the National Treatment Purchase Fund, NTPF this has been reduced by €5 million to €85 million. While €5 million is a lot of money, we are still spending €85 million on getting rid of gridlock and queues in our health services and on accommodating people who cannot otherwise avail of hospital services. I have just received a note with clarification on the slot. I believe it will run until 8 p. m.",Lenihan
